epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6347,1.85139,2.63513,1.66081,0.06666,0.38889,0.04101,0.01692,2.17914,118.012,10.9049,0.000653333,0.000653333,0.000653333
2,68.3228,2.07868,2.17286,1.83788,0.00472,0.30556,0.00332,0.00099,3.19206,inf,20.8865,0.00131477,0.00131477,0.00131477
3,97.1906,2.11249,2.20165,1.84538,0.0025,0.09722,0.00096,0.00023,nan,nan,nan,0.00197093,0.00197093,0.00197093
4,126.454,2.03691,2.11882,1.805,0.01786,0.02778,0.00205,0.00048,4.49281,16.9381,6.35593,0.00197624,0.00197624,0.00197624
5,156.932,1.96873,1.98506,1.73254,0.03969,0.08333,0.0125,0.00806,3.11105,7.33041,3.44541,0.00196832,0.00196832,0.00196832
6,187.294,1.90025,1.88892,1.70023,0.02142,0.08333,0.0195,0.00482,3.50685,6.9011,3.18632,0.0019604,0.0019604,0.0019604
7,216.862,1.90841,1.88861,1.70956,0.41964,0.31944,0.31444,0.13004,2.2762,3.03643,2.32269,0.00195248,0.00195248,0.00195248
8,246.97,1.84149,1.76435,1.65746,0.62313,0.66667,0.61632,0.30517,1.71951,2.61013,1.84985,0.00194456,0.00194456,0.00194456
9,277.585,1.84701,1.71737,1.63938,0.50274,0.5,0.45965,0.20224,1.94719,3.77674,1.97837,0.00193664,0.00193664,0.00193664
10,307.228,1.78331,1.68563,1.60875,0.66062,0.51367,0.57359,0.27749,1.78887,2.17816,1.87906,0.00192872,0.00192872,0.00192872
11,337.07,1.70265,1.56303,1.55979,0.68174,0.51389,0.50316,0.24499,1.82757,2.00248,1.92749,0.0019208,0.0019208,0.0019208
12,367.477,1.73635,1.57547,1.57432,0.82846,0.46958,0.57558,0.27067,1.68004,1.83207,1.74756,0.00191288,0.00191288,0.00191288
13,397.787,1.71157,1.54655,1.54508,0.69426,0.56944,0.65911,0.34635,1.67975,1.58607,1.72943,0.00190496,0.00190496,0.00190496
14,427.735,1.68062,1.4854,1.50967,0.53463,0.52778,0.5032,0.25031,1.80929,1.94605,1.87926,0.00189704,0.00189704,0.00189704
15,457.604,1.66022,1.54779,1.51578,0.70694,0.59722,0.64342,0.30532,1.75355,2.14127,1.80277,0.00188912,0.00188912,0.00188912
16,488.12,1.62722,1.43672,1.48948,0.66281,0.51878,0.54963,0.27165,1.65056,1.94285,1.73548,0.0018812,0.0018812,0.0018812
17,517.711,1.6355,1.42793,1.49901,0.88151,0.54167,0.6979,0.36728,1.65327,1.47165,1.69535,0.00187328,0.00187328,0.00187328
18,547.603,1.65795,1.45983,1.5218,0.67095,0.84962,0.78497,0.42134,1.57859,1.70178,1.62868,0.00186536,0.00186536,0.00186536
19,577.464,1.64445,1.44406,1.49283,0.74489,0.625,0.7322,0.41169,1.52714,1.56221,1.61729,0.00185744,0.00185744,0.00185744
20,607.757,1.60994,1.41926,1.464,0.72873,0.54167,0.62186,0.29972,1.80936,1.71239,1.82061,0.00184952,0.00184952,0.00184952
21,637.401,1.62871,1.38314,1.47669,0.70708,0.77778,0.79342,0.41458,1.64307,1.51207,1.64408,0.0018416,0.0018416,0.0018416
22,667.286,1.59983,1.37015,1.48315,0.70968,0.713,0.74544,0.38484,1.64656,1.58845,1.69104,0.00183368,0.00183368,0.00183368
23,697.445,1.55251,1.30604,1.43313,0.77809,0.68181,0.8108,0.45245,1.58964,1.29721,1.60795,0.00182576,0.00182576,0.00182576
24,727.892,1.57185,1.30538,1.44163,0.70674,0.58333,0.66515,0.37772,1.49463,1.38566,1.61029,0.00181784,0.00181784,0.00181784
25,757.593,1.61639,1.33937,1.4721,0.85106,0.63497,0.74586,0.40766,1.48497,1.19265,1.57801,0.00180992,0.00180992,0.00180992
26,787.284,1.50921,1.25374,1.41722,0.75729,0.69338,0.80765,0.43716,1.50536,1.19248,1.54116,0.001802,0.001802,0.001802
